               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 111,            0.021153,           0.0097527,           0.0034577,              0.9972,             0.99518,               0.995,             0.81269,            0.011454,           0.0040361,          0.00046187,             0.00274,             0.00274,             0.00274
                 112,            0.023409,            0.010648,            0.005415,             0.97198,             0.99583,             0.99371,             0.82659,            0.010997,           0.0040552,          0.00046826,            0.002674,            0.002674,            0.002674
                 113,            0.020546,           0.0096744,           0.0026591,             0.99468,             0.99157,             0.99496,             0.82818,            0.010575,           0.0040548,          0.00047392,            0.002608,            0.002608,            0.002608
                 114,            0.020777,            0.010373,           0.0051376,             0.99484,             0.97439,             0.99371,              0.8326,            0.010231,           0.0040088,          0.00048079,            0.002542,            0.002542,            0.002542
                 115,            0.017246,           0.0090796,            0.002888,              0.9754,             0.99928,             0.99375,             0.82399,           0.0099489,           0.0040019,          0.00047991,            0.002476,            0.002476,            0.002476
                 116,             0.02152,           0.0098354,           0.0055641,             0.97227,             0.99583,             0.99371,             0.83042,            0.010175,           0.0039233,          0.00047794,             0.00241,             0.00241,             0.00241
                 117,            0.023053,           0.0093351,           0.0033375,              0.9953,             0.99229,             0.99496,             0.83006,              0.0102,           0.0039171,          0.00046728,            0.002344,            0.002344,            0.002344
                 118,            0.019344,           0.0095489,            0.004055,             0.97311,             0.99583,             0.99371,             0.83967,           0.0095088,           0.0038887,          0.00046782,            0.002278,            0.002278,            0.002278
                 119,             0.02009,            0.010132,           0.0033778,             0.97161,             0.99583,             0.99371,             0.83479,           0.0099172,           0.0039439,          0.00046309,            0.002212,            0.002212,            0.002212
                 120,            0.020227,            0.010632,           0.0036968,             0.96988,                   1,             0.99375,             0.83723,            0.010096,           0.0039375,           0.0004532,            0.002146,            0.002146,            0.002146
                 121,             0.01889,           0.0097844,           0.0019184,             0.99744,              0.9919,               0.995,             0.84103,            0.010309,           0.0038592,          0.00045749,             0.00208,             0.00208,             0.00208
                 122,            0.019622,           0.0096471,           0.0020723,              0.9922,             0.97785,             0.99375,             0.84627,           0.0093402,           0.0037994,          0.00047081,            0.002014,            0.002014,            0.002014
                 123,            0.017112,           0.0097541,           0.0016715,             0.99803,             0.99052,               0.995,             0.85009,           0.0096741,           0.0037244,          0.00048676,            0.001948,            0.001948,            0.001948
                 124,            0.017264,           0.0093494,           0.0018835,             0.99012,             0.99784,             0.99496,             0.85102,           0.0094478,           0.0037439,          0.00048601,            0.001882,            0.001882,            0.001882
                 125,            0.018062,           0.0099036,           0.0021611,             0.99347,             0.97302,             0.99371,             0.84078,           0.0098441,           0.0037435,          0.00047976,            0.001816,            0.001816,            0.001816
                 126,            0.023396,           0.0095943,           0.0044045,             0.99339,             0.97378,             0.99371,             0.84633,            0.010166,           0.0037457,          0.00047379,             0.00175,             0.00175,             0.00175
                 127,            0.021771,            0.010435,           0.0025746,             0.99326,              0.9785,             0.99375,             0.83915,            0.009309,           0.0036485,          0.00046273,            0.001684,            0.001684,            0.001684
                 128,            0.014409,           0.0094675,           0.0020921,             0.99393,             0.97567,             0.99371,             0.84575,           0.0093342,           0.0036401,          0.00043188,            0.001618,            0.001618,            0.001618
                 129,            0.018072,           0.0092987,           0.0023562,             0.99424,              0.9775,             0.99375,             0.84854,           0.0089995,           0.0036041,          0.00041056,            0.001552,            0.001552,            0.001552
                 130,            0.017021,           0.0096198,            0.002509,             0.99699,             0.99113,               0.995,             0.84491,           0.0093295,           0.0036449,          0.00039515,            0.001486,            0.001486,            0.001486
                 131,            0.016681,           0.0091463,          0.00094423,              0.9963,             0.99311,               0.995,             0.85296,           0.0092883,           0.0036444,          0.00037641,             0.00142,             0.00142,             0.00142
                 132,            0.018216,            0.009963,           0.0042767,             0.99555,             0.99612,               0.995,             0.84489,           0.0094324,           0.0036753,          0.00036613,            0.001354,            0.001354,            0.001354
                 133,            0.020637,           0.0088948,           0.0026145,             0.99461,             0.97596,             0.99375,             0.83681,           0.0090096,           0.0036514,          0.00036048,            0.001288,            0.001288,            0.001288
                 134,            0.018513,            0.009711,           0.0023355,             0.99145,             0.99289,             0.99496,             0.84466,           0.0089665,           0.0036334,          0.00034937,            0.001222,            0.001222,            0.001222
                 135,            0.018524,           0.0086481,           0.0022921,             0.99546,             0.99696,               0.995,             0.85217,           0.0089803,           0.0036447,          0.00034297,            0.001156,            0.001156,            0.001156
                 136,            0.018726,           0.0087605,           0.0017586,             0.99621,             0.97355,             0.99371,             0.85375,           0.0090181,           0.0036156,          0.00032959,             0.00109,             0.00109,             0.00109
                 137,            0.018006,           0.0086417,           0.0019201,             0.99603,              0.9737,             0.99371,             0.85066,           0.0089371,           0.0036044,          0.00032677,            0.001024,            0.001024,            0.001024
                 138,            0.017856,           0.0088259,           0.0025591,             0.98908,             0.99772,             0.99496,             0.85366,           0.0087406,           0.0035664,          0.00032743,            0.000958,            0.000958,            0.000958
                 139,            0.015687,           0.0083494,           0.0011188,             0.98767,              0.9979,               0.995,             0.85857,           0.0088132,           0.0035461,          0.00032536,            0.000892,            0.000892,            0.000892
                 140,            0.016354,           0.0089709,           0.0010849,             0.99628,             0.97875,             0.99375,             0.85346,           0.0084545,           0.0035366,          0.00032342,            0.000826,            0.000826,            0.000826
                 141,            0.021437,           0.0087788,           0.0019954,             0.99586,             0.97447,             0.99371,             0.85789,           0.0084416,           0.0035533,          0.00032237,             0.00076,             0.00076,             0.00076
                 142,            0.016232,           0.0079328,           0.0018199,             0.98522,             0.99824,             0.99496,             0.86735,           0.0085052,           0.0035349,          0.00032382,            0.000694,            0.000694,            0.000694
                 143,            0.016809,           0.0096441,           0.0013344,             0.98508,             0.99825,               0.995,             0.86243,           0.0083107,            0.003493,          0.00032233,            0.000628,            0.000628,            0.000628
                 144,            0.018476,           0.0093989,            0.001675,             0.99105,             0.98077,             0.99371,             0.85156,           0.0083147,           0.0034818,          0.00031821,            0.000562,            0.000562,            0.000562
                 145,            0.015392,           0.0097978,           0.0010341,              0.9845,             0.99831,               0.995,             0.86239,           0.0083238,           0.0034899,          0.00031843,            0.000496,            0.000496,            0.000496
                 146,            0.016189,           0.0080434,           0.0015287,             0.99359,             0.97858,             0.99375,             0.86202,           0.0082521,            0.003494,          0.00032036,             0.00043,             0.00043,             0.00043
                 147,            0.017758,           0.0090287,           0.0016387,             0.98438,             0.99833,               0.995,             0.86521,           0.0079924,            0.003474,          0.00031683,            0.000364,            0.000364,            0.000364
                 148,            0.018903,           0.0086798,            0.001712,             0.99177,             0.98049,             0.99371,             0.86955,           0.0080308,           0.0034814,          0.00031312,            0.000298,            0.000298,            0.000298
                 149,            0.014759,           0.0088934,           0.0011679,             0.99188,             0.98023,             0.99371,             0.86477,           0.0080519,           0.0034835,          0.00031196,            0.000232,            0.000232,            0.000232
